0.304717,-0.164007,-0.096019,-0.614049,-0.297076,nan,-1.173356,-2.797104,-0.263703
-1.039984,-0.986106,-0.029281,-2.420816,2.468064,-0.506266,-1.617900,-3.116911,-3.391864
0.750451,0.679032,0.454751,nan,-0.901824,4.309507,0.734587,4.575293,0.857722
0.940565,0.646580,1.354511,1.928112,nan,0.498936,nan,1.777783,0.203987
-1.951035,-1.958872,-0.266893,-2.985758,1.139051,-2.601607,-0.274351,nan,-0.830338
-1.302180,0.134785,0.344718,-1.308773,0.102159,-0.821461,-0.735925,-1.402794,1.716904
0.127840,-0.002016,-0.198979,-0.445711,0.115582,-0.013103,-0.046612,-0.172002,-1.510563
-0.316243,-0.935773,-0.418897,-0.400298,nan,0.488701,nan,nan,1.358954
-0.016801,0.823748,0.245029,0.070077,-0.105596,-0.700206,-0.926480,nan,1.749570
-0.853044,0.011451,0.848218,nan,1.147886,-0.811637,-1.152474,-2.003068,-3.434884
0.879398,-0.445480,-0.439403,1.193524,1.663401,-0.103420,-1.718490,2.215939,nan
0.777792,1.632924,1.201231,0.457219,-1.363726,2.722000,2.450720,0.952270,1.867797
0.066031,0.494174,0.719006,1.538299,0.998152,-0.419382,-1.517175,0.609514,nan
1.127241,0.556483,0.968429,1.298014,0.204127,-0.895712,-0.203502,0.223917,-2.327342
0.467509,1.346908,1.022751,2.374987,0.304844,0.757475,0.448018,2.799468,-0.569711
-0.859292,-0.318138,-0.053243,-1.311686,0.906488,-1.572805,-0.848338,-0.482824,0.321482
0.368751,0.164717,0.775508,nan,-1.535219,2.032745,1.410141,0.211363,nan
-0.958883,-0.941651,0.018119,-2.569119,1.451186,-1.549572,-1.186307,-1.596098,-1.420440
0.878450,0.846520,0.253191,nan,-1.933655,1.234158,nan,2.479561,3.090099
-0.049926,0.308659,0.264498,0.417210,0.610959,0.794644,-1.463479,nan,0.718304
-0.184862,-0.082155,0.087425,-2.525842,0.596764,nan,0.524233,-1.677823,-1.370738
-0.680930,-0.893455,-0.329579,-0.640200,0.549147,-2.545293,0.542380,1.228927,nan
1.222541,0.702222,-0.483285,3.726553,-0.311333,1.716293,0.367842,3.674461,1.044546
-0.154529,-0.126124,-0.825783,0.831951,0.055306,0.658031,nan,nan,-0.380964
-0.428328,-1.147596,-1.233273,-0.461520,1.478495,-1.426763,-0.588290,-1.833693,-1.342821
-0.352134,-1.206335,-1.341797,-1.277346,-1.057506,-1.730850,0.976934,-0.592490,1.221819
0.532309,0.661762,0.047805,2.411247,0.261480,1.891152,-0.958661,nan,nan
0.365444,-1.638600,-1.103158,0.802897,0.212829,1.178192,-2.149675,0.257654,-0.526254
0.412733,0.350154,0.071839,nan,nan,nan,0.984602,0.260494,nan
0.430821,-0.119248,-0.126447,0.591722,nan,1.406735,nan,nan,1.482920
2.141648,1.986596,0.334631,3.844003,-1.740304,2.983344,0.920870,4.155954,0.197443
-0.406415,-0.548635,-0.547805,nan,0.621807,nan,-0.363177,nan,0.074856
-0.512243,0.205518,0.611716,0.560624,0.173658,0.896863,0.435954,0.667849,-0.279312
