Trial_ID,Value,topK,shrink,tversky_alpha,tversky_beta
183,0.25292502390964416,8,100,0.18445514996044549,1.7490566752549062
185,0.2529157125598643,8,100,0.1841626843239246,1.7461477621298256
161,0.2529149947872584,8,100,0.18799520308386317,1.7571985406726631
192,0.2529074973894893,8,104,0.1840441170468255,1.7525784369479942
150,0.2528899037164667,7,100,0.1938308824781837,1.767560145312649
158,0.2528886249734102,8,100,0.18875422097363143,1.7561847041099572
193,0.2528885577678593,8,104,0.18318642060316048,1.7412839537478007
190,0.25288778567385906,8,100,0.18359699108717253,1.7510509987707201
187,0.252873844267678,8,100,0.18283838510749548,1.7437624439580712
173,0.25286686765096417,8,105,0.18018454850854315,1.7497421897233525
153,0.2528664021917949,7,100,0.19441122326770505,1.765717538108794
166,0.25286489249429384,8,105,0.18209293961643278,1.7368422753427513
172,0.25286330138196256,8,104,0.17993106150924387,1.7471597305579283
169,0.2528629086267091,8,107,0.18435068134702093,1.7496767765979684
186,0.25286175477818473,8,100,0.18332914666751365,1.7448152967885124
194,0.2528603435946889,8,108,0.18421216274516589,1.7510853493216425
151,0.25285893627344114,7,104,0.195419861627814,1.7837380057836265
184,0.2528565463167366,8,103,0.18304972339196296,1.7476879863835115
154,0.2528523240149374,7,100,0.1909612369574982,1.7659929770848268
174,0.25283628155558124,8,105,0.18173023547793624,1.727623979073691
140,0.2528360767678147,7,100,0.2120226556018628,1.792261276382268
155,0.25283467104915347,7,100,0.19460590479645226,1.7647122651263292
197,0.2528256529155463,8,107,0.1823338999617967,1.734103324786266
175,0.2528243794670798,8,104,0.1785931663834319,1.7270074858930295
142,0.2528129882419014,7,106,0.21042778030128112,1.766356649494193
152,0.2528055717996758,7,103,0.19432671322120113,1.7691701782382374
102,0.25280194006556533,7,104,0.19028431781876756,1.7899731573988897
160,0.2527924610149811,8,110,0.189216964715598,1.7610805454384226
178,0.2527915031746546,8,106,0.1761669567140195,1.7162362335680494
98,0.2527906476302882,8,110,0.18111363250781304,1.735949356982949
171,0.2527807651139406,8,105,0.19724325189457043,1.7510899710911885
182,0.2527729562561068,8,105,0.17481938198151603,1.7158481550079563
179,0.25277167196768013,8,104,0.18877450517985012,1.746656844654405
163,0.25276856359314503,8,110,0.1870136721837048,1.7563820162850488
133,0.25276195152850034,7,100,0.23252302288932233,1.781829536525712
195,0.2527586852247788,8,108,0.16766812272217363,1.7416682186334225
162,0.25275395400488604,8,110,0.19841355168082084,1.762865868792369
105,0.25274907637748945,7,101,0.22458445424500184,1.79749342528538
106,0.25274783159924896,7,100,0.2308894538342779,1.7995075731590962
196,0.252746369143625,8,114,0.1838067778253758,1.751618250921318
138,0.2527399030503821,7,100,0.2138913255651741,1.7668018842002342
191,0.25273684164020993,8,100,0.17057619515041073,1.7467270977226714
168,0.2527356223114395,8,113,0.19176723491161576,1.7607533111592204
164,0.25273255100010017,8,111,0.1876360543861461,1.7565130867120708
159,0.25273015850907604,8,115,0.18889550164169897,1.7565310057031667
64,0.25272636140465277,8,117,0.20446540497805998,1.7999298563830843
109,0.25272411050938476,7,100,0.23355000758315844,1.7821341249381626
116,0.2527142833291543,7,103,0.22987748682654252,1.792495387777045
198,0.2527071718629731,8,104,0.17433842203744454,1.7551719123326808
113,0.25270347479402966,7,104,0.2428628972306516,1.7912212236439735
103,0.25270180772427137,7,103,0.23333236833070636,1.7920844406527583
